,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
269,best,101.0,465420,온리온,70.0,9.96,2000,0
270,best,101.0,180890,snow,3.0,9.39,8199,0
271,best,101.0,196867,판타즈마(fantasma),13.0,9.92,2247,0
272,best,101.0,425840,윤해이(별별),4.0,9.97,5075,0
273,best,101.0,461279,골든애플,83.0,9.99,1643,0
274,best,101.0,420227,시모어,7.0,9.99,4768,0
275,best,101.0,467477,사지현,7.0,9.96,5242,0
276,best,101.0,221468,안테,250.0,9.98,46838,4
277,best,101.0,394345,아이블룸,10.0,9.98,1970,0
278,best,101.0,235100,김로아(진저더캣),88.0,9.99,7856,0
279,best,101.0,375934,럽룽이,107.0,9.98,842,0
280,best,101.0,213429,느린꽃,34.0,9.99,9435,0
281,best,101.0,363983,느린꽃,21.0,9.99,4249,0
282,best,101.0,429384,느린꽃,16.0,9.99,1981,0
283,best,101.0,80051,rainbow,112.0,9.76,4080,0
284,best,101.0,384688,김혜윰(뽕시꽁시),16.0,9.9,3251,0
285,best,101.0,468602,블 루 스카이,103.0,9.87,976,0
286,best,101.0,339297,로즈마리 향기,84.0,9.99,3626,0
287,best,101.0,434054,프강,68.0,9.98,2999,0
288,best,101.0,419262,공랴,7.0,9.94,5491,0
289,best,101.0,295483,리아지,10.0,9.99,7245,0
290,best,101.0,8513,비야랑,63.0,9.96,1260,0
291,best,101.0,193407,김이다,144.0,9.98,2638,0
292,best,101.0,457649,효월(김시현),1.0,9.99,6502,0
293,best,101.0,463625,Octo,115.0,9.97,1933,0
294,best,101.0,332114,늘ㅎH랑,10.0,9.94,7204,0
295,best,101.0,459255,이경하,8.0,9.97,8311,1
296,best,101.0,212496,엣세라,9.0,9.98,6634,0
297,best,101.0,468797,용감한 자매,32.0,9.93,3916,0
298,best,101.0,418685,싹이튼감자,135.0,9.96,4273,0
299,best,101.0,309466,김로아(진저더캣),1.0,9.66,2159,0
300,best,101.0,210769,조수현,16.0,9.98,1551,0
301,best,101.0,242008,에덴의 심장,6.0,9.94,592,0
302,best,101.0,201390,라 미,1.0,9.4,2401,0
303,best,101.0,403888,진이현,8.0,9.99,2892,0
304,best,101.0,464497,삼색냥,33.0,9.97,1340,0
305,best,101.0,158190,솔온,10.0,9.97,3437,0
306,best,101.0,138488,도토리토리,205.0,9.96,3316,0
307,best,101.0,237175,oz,86.0,9.97,6924,0
308,best,101.0,1305,슈테른,52.0,9.94,4586,0
309,best,101.0,509803,하예진(몰라양),15.0,9.98,1914,0
310,best,101.0,119229,강한주,0.0,0.0,1198,0
311,best,101.0,165993,윤리온,103.0,9.92,6635,0
312,best,101.0,427001,몽연서,38.0,9.97,6493,0
313,best,101.0,111649,홍여류,59.0,9.92,1906,0
314,best,101.0,391540,화이트진,12.0,9.96,2156,0
315,best,101.0,423592,김향선(허난설헌),101.0,9.97,2621,0
316,best,101.0,465064,에르몬,54.0,9.98,3267,0
317,best,101.0,450314,지지아,3.0,9.98,2638,0
318,best,101.0,306648,파란딱지,118.0,9.99,6511,0
319,best,101.0,321889,가을s,1.0,9.65,6375,0
320,best,101.0,160631,억만불별똥,8.0,9.97,5743,0
321,best,101.0,184701,은텔라,12.0,9.96,3435,0
322,best,101.0,283425,이솔Sol,2.0,9.95,4226,0
323,best,101.0,411783,가을s,56.0,9.93,3751,0
324,best,101.0,301879,설하연,101.0,9.92,1979,0
325,best,101.0,97896,보라순이,186.0,9.95,4640,0
326,best,101.0,342054,에이레네(eirene),73.0,9.96,2531,0
327,best,101.0,489894,서미주,67.0,9.99,1728,0
328,best,101.0,403038,하라임,12.0,9.99,2295,0
329,best,101.0,208892,다인 김민경,10.0,9.95,13823,0
330,best,101.0,212423,안느로망,18.0,9.99,1195,0
331,best,101.0,412738,초코칩고기,17.0,9.99,3107,0
332,best,101.0,184825,oz,154.0,9.96,24205,0
333,best,101.0,242800,김화진,160.0,9.99,4513,0
334,best,101.0,204437,진이현,7.0,9.91,3053,0
335,best,101.0,407273,carbo,1.0,9.98,4320,0
336,best,101.0,253683,빨간무지개,1.0,9.92,4545,0
337,best,101.0,195441,은텔라,55.0,9.99,3920,0
338,best,101.0,459929,몽현,1.0,8.2,1943,0
339,best,101.0,216953,샨탈,90.0,9.98,5339,0
340,best,101.0,322507,G.윤,1.0,9.6,1432,0
341,best,101.0,401641,신의알잖아,82.0,9.97,4078,0
342,best,101.0,185112,가시맘,8.0,9.8,5320,0
343,best,101.0,396706,봄블리,102.0,9.97,10850,1
344,best,101.0,200455,김선정,4.0,9.73,4677,0
345,best,101.0,179753,양해연,122.0,9.97,4681,0
346,best,101.0,157904,한가윤,37.0,9.99,6667,0
347,best,101.0,394233,carbo,10.0,9.98,11957,0
348,best,101.0,243918,Twin두사람,9.0,9.96,5459,0
349,best,101.0,3705,메론사탕,19.0,9.97,3420,0
350,best,101.0,464827,kimhyeyoung,57.0,9.88,502,0
351,best,101.0,400554,설래인,2.0,9.94,6715,0
352,best,101.0,160234,보통여자,1.0,9.0,2838,0
353,best,101.0,301865,유하민,129.0,9.96,3634,0
354,best,101.0,428558,느낌나라,128.0,9.95,6659,0
355,best,101.0,335992,박레인,74.0,9.98,2339,0
356,best,101.0,241681,정재연,3.0,9.98,3288,0
357,best,101.0,321141,최연(레몬향),15.0,9.95,1493,0
358,best,101.0,348480,선하랑,92.0,9.99,5367,0
359,best,101.0,286370,별하얀,5.0,9.73,7761,0
360,best,101.0,270059,유개미,58.0,9.98,1225,0
361,best,101.0,297508,키아르네,1.0,9.95,2192,0
362,best,101.0,241372,달숨,19.0,9.99,972,0
363,best,101.0,205552,사우.,9.0,9.75,6798,0
364,best,101.0,371570,블루시연,126.0,9.98,3255,0
365,best,101.0,208969,꿈꾸는이,30.0,9.94,8198,0
366,best,101.0,132484,유아현,11.0,9.95,13948,0
367,best,101.0,207375,너는내운명_신세진,23.0,9.94,2688,0
368,best,101.0,224588,박정아,1.0,9.99,3602,0
369,best,101.0,367188,이다홍,2.0,9.96,3713,0
370,best,101.0,438060,버티고,53.0,9.92,1220,0
371,best,101.0,268811,온통,93.0,9.97,11005,0
372,best,101.0,159943,헤이륜,1.0,9.73,14730,0
373,best,101.0,341822,용감한 자매,40.0,9.99,16802,0
374,best,101.0,290489,퍼플초이,6.0,9.99,3195,0
375,best,101.0,182917,스크류뿅뿅,23.0,9.97,2612,0
376,best,101.0,232526,최온,119.0,9.98,16773,0
377,best,101.0,424242,하수영,89.0,9.99,2547,0
378,best,101.0,387429,blueRose 놀마,4.0,9.93,1418,0
