,level,genre,ID,name,episode_total,likeit
337,best,101,195441,은텔라,55,801
338,best,101,459929,몽현,1,685
339,best,101,216953,샨탈,90,1710
340,best,101,322507,G.윤,1,453
341,best,101,401641,신의알잖아,82,564
342,best,101,185112,가시맘,8,903
343,best,101,396706,봄블리,102,2150
344,best,101,200455,김선정,4,1143
345,best,101,179753,양해연,122,1822
346,best,101,157904,한가윤,37,1720
347,best,101,394233,carbo,10,3595
348,best,101,243918,Twin두사람,9,1727
349,best,101,3705,메론사탕,19,447
350,best,101,464827,kimhyeyoung,57,162
351,best,101,400554,설래인,2,2139
352,best,101,160234,보통여자,1,876
353,best,101,301865,유하민,129,854
354,best,101,428558,느낌나라,128,1498
355,best,101,335992,박레인,74,630
356,best,101,241681,정재연,3,846
357,best,101,321141,최연(레몬향),15,490
358,best,101,348480,선하랑,92,1189
359,best,101,286370,별하얀,5,1870
360,best,101,270059,유개미,58,342
361,best,101,297508,키아르네,1,536
362,best,101,241372,달숨,19,306
363,best,101,205552,사우.,9,1528
364,best,101,371570,블루시연,126,986
365,best,101,208969,꿈꾸는이,30,2544
366,best,101,132484,유아현,11,2972
367,best,101,207375,너는내운명_신세진,23,779
368,best,101,224588,박정아,1,1118
369,best,101,367188,이다홍,2,965
370,best,101,438060,버티고,53,339
371,best,101,268811,온통,93,1760
372,best,101,159943,헤이륜,1,2478
373,best,101,341822,용감한 자매,40,4003
374,best,101,290489,퍼플초이,6,822
375,best,101,182917,스크류뿅뿅,23,673
376,best,101,232526,최온,119,4585
377,best,101,424242,하수영,89,905
378,best,101,387429,blueRose 놀마,4,401
379,best,101,391767,blueRose 놀마,4,428
380,best,101,352187,리브☆,5,160
381,best,101,239904,윤연주 영어샘,18,928
382,best,101,275467,까만토깽이(혜란),138,867
383,best,101,219899,홍리우.,99,2279
384,best,101,301661,난다긴다하다,55,510
385,best,101,204423,럼,5,649
386,best,101,196768,에레티,8,1547
387,best,101,206590,쿠키아저씨,10,177
388,best,101,201838,박 잎새,81,708
389,best,101,241795,이이담(유주),20,286
390,best,101,221470,송주희,97,1831
391,best,101,195683,청월호 (靑月虎),249,731
392,best,101,102061,완두콩알,81,280
393,best,101,166674,신이봄,10,679
394,best,101,14920,아모르파티(Amor Fati),18,994
395,best,101,335327,미리내27,89,1487
396,best,101,254855,디라이터,9,1784
397,best,101,403312,옥강냉Q,25,351
398,best,101,266842,설래인,116,2901
399,best,101,192864,빅노아,19,992
400,best,101,224260,작가이미르,163,1765
401,best,101,196739,지오한수옥,155,776
402,best,101,313546,매혹화,16,1685
403,best,101,311677,김나림,10,1743
404,best,101,216936,불탄닷♡,209,1836
405,best,101,385969,하수영,109,1013
406,best,101,211863,김정화(카밀),14,3017
407,best,101,153099,RANEY,8,325
408,best,101,248871,레이디SR,13,510
409,best,101,241879,살초,20,63
410,best,101,416512,해아한,10,1700
411,best,101,186845,팅옌,10,869
412,best,101,329745,아이블룸,6,565
413,best,101,198176,snow,0,835
414,best,101,193677,리아지,121,1546
415,best,101,199905,타오름달,74,384
416,best,101,380411,삡새,57,779
417,best,101,192186,이이담(유주),27,241
418,best,101,387962,은준영,83,620
419,best,101,200317,다나월,7,867
420,best,101,207055,하나야,103,2829
421,best,101,228700,리브☆,9,713
422,best,101,178786,은혜별,32,1107
423,best,101,4219,한도연,58,837
424,best,101,322064,Octo,139,734
425,best,101,160307,rucy,145,783
426,best,101,160425,"모란,",66,1842
427,best,101,244224,더블유(W),7,556
428,best,101,258752,비엔나커피,10,1221
429,best,101,236500,비더rose,216,1089
430,best,101,215972,조은걸,75,737
431,best,101,241357,청별,11,79
432,best,101,332550,덕트,5,1149
433,best,101,130749,자목련,70,217
434,best,101,221045,크롱이,89,3053
435,best,101,166170,부부,111,1885
436,best,101,108410,시크크,80,2830
437,best,101,259407,휘연(徽緣),10,826
438,best,101,336855,임하늬,65,499
439,best,101,385491,윤희사,1,777
440,best,101,144436,Solus,151,637
441,best,101,168124,에밀소년,72,715
442,best,101,153517,민재경&너는내운명,41,1775
443,best,101,271931,달콤J,1,2262
444,best,101,178432,우중보행,63,127
445,best,101,263889,블루시연,125,2273
446,best,101,198723,작가 이재이,11,242
447,best,101,196646,홀리다,32,590
448,best,101,343394,la Lune,16,187
449,best,101,196293,멜리아,126,642
450,best,101,247382,은아란,134,436
451,best,101,133566,Haar,14,1180
452,best,101,124862,서이나,7,344
453,best,101,199265,헬리아,64,491
454,best,101,201507,아르마인,199,2289
455,best,101,173827,Liana,13,393
456,best,101,261392,류희경,167,754
457,best,101,189351,조은걸,45,414
458,best,101,131961,Whale,55,300
459,best,101,216381,김나림,28,1064
460,best,101,207470,신우리,32,2627
461,best,101,33458,에레티,1,477
462,best,101,96060,동하(?霞),334,527
463,best,101,279749,메텔,3,680
464,best,101,213426,블루시연,149,2316
465,best,101,240836,덕트,10,1599
466,best,101,215212,김탠,0,961
467,best,101,265408,플레인 요거트,94,445
468,best,101,168507,데스띠나,34,2270
469,best,101,160218,소노율,31,484
470,best,101,124659,Twin두사람,6,1265
471,best,101,116964,천향 (川響),25,63
472,best,101,186768,온미리내,89,1852
473,best,101,224088,리메이,12,469
474,best,101,220164,은이경,49,1134
475,best,101,58533,냐하홀릭,171,367
476,best,101,156544,작가 은혜별,11,502
477,best,101,257277,주리안,91,813
478,best,101,214783,신우리,5,1420
479,best,101,128925,플라워리,77,905
480,best,101,217507,최온&고결,94,2817
481,best,101,154656,하늘돌고래,97,1269
482,best,101,118292,서윤(Somnium),82,835
483,best,101,213062,블루시연,33,982
484,best,101,190144,중성미자,46,93
485,best,101,93015,월우,127,976
486,best,101,202642,고결,119,4773
487,best,101,185015,홍보라,3,188
488,best,101,201073,그린커피,17,3311
489,best,101,251859,신경아,34,95
490,best,101,163353,작가 - 이루리,19,671
491,best,101,156561,샨탈,75,398
492,best,101,125999,조이루시,11,741
493,best,101,189099,엣세라,61,2207
494,best,101,239932,샌디앨,10,109
495,best,101,31992,션쓰,3,129
496,best,101,233128,로즈빈,6,937
497,best,101,179855,oz,1,6762
498,best,101,158768,부부,45,176
499,best,101,159465,뀨쭈,42,139
500,best,101,201198,박정아,10,834
501,best,101,200002,작가 임초해,10,247
502,best,101,174542,초코칩고기,64,2239
503,best,101,194711,옥강냉,10,535
504,best,101,184949,옥강냉,10,679
505,best,101,184356,미스틱 작가,10,565
506,best,101,170703,백희(흰돌),7,258
507,best,101,171673,작가 임초해,10,186
508,best,101,144090,작가 이미르,10,1762
509,best,102,530986,토범태영,113,37
510,best,102,397309,덧붙임,213,142
511,best,102,541054,장스,132,2
512,best,102,122819,알리섬,12,180
513,best,102,509211,RoNe,84,38
514,best,102,460746,Deicider,112,73
515,best,102,358372,세스퍼,236,23
516,best,102,327076,JACK THE RIPPER,119,552
517,best,102,196942,메르헬,73,52
518,best,102,338598,냐스퍼긔여어,276,560
519,best,102,431921,라미아스,170,180
520,best,102,230067,레몬크림스튜,164,1024
521,best,102,350945,조르쥬,221,179
522,best,102,85242,시구사,51,16
523,best,102,179409,밀레토스,173,349
524,best,102,556797,작은밤littlenight,30,0
525,best,102,495256,Cielinto,65,6
526,best,102,510864,하루세번절필고민,107,68
527,best,102,492007,『아이시스』,95,21
528,best,102,485171,단 그리핀,101,39
529,best,102,396879,프로젝트 HK,31,43
530,best,102,540513,늦게지는 꽃,84,6
531,best,102,468689,스크류뿅뿅,93,246
532,best,102,178952,은똥(윤시현),13,462
533,best,102,209544,마신유희,490,887
534,best,102,492297,라인트,124,67
535,best,102,488146,Quinn*,7,222
536,best,102,530961,온미,54,11
537,best,102,3158,은 림,128,2137
538,best,102,360879,세스퍼,129,11
539,best,102,505865,네모돌이,251,111
540,best,102,479911,베르커,112,72
541,best,102,483114,재인_,64,362
542,best,102,86006,가언.L,251,332
543,best,102,292248,멀고도먼이상,465,303
544,best,102,244501,날숨,9,262
545,best,102,460968,피아누네,48,9
546,best,102,94218,어미시상에,385,337
547,best,102,165497,유키히루,264,435
548,best,102,200409,하사현,0,193
549,best,102,388687,쎄이,523,378
550,best,102,389896,Jun.S,41,258
551,best,102,9970,주르고엘,3,625
552,best,102,360108,하리아나,112,401
553,best,102,543794,레고밟았어,45,37
554,best,102,553103,462시간,39,0
555,best,102,312588,오즈의 세계,533,509
556,best,102,436785,국구ㅜ구구구콘ㅋㅋㅋ,123,327
557,best,102,114299,Aslan,90,596
558,best,102,502417,엘리 윤,115,136
559,best,102,503510,하이디깡,36,35
560,best,102,364709,NEMESIS,31,246
561,best,102,304434,bosco,242,318
562,best,102,164014,네블로우,74,88
563,best,102,402904,나르릉,148,353
564,best,102,355500,목쌍,172,440
565,best,102,474879,코랄로즈,149,930
566,best,102,495121,다크팥,50,0
567,best,102,535830,macro,33,13
568,best,102,382220,얼음눈송이,56,166
569,best,102,523376,snow,37,165
570,best,102,391413,빛밤,93,134
571,best,102,137301,JC-Ent,125,329
572,best,102,5681,JC-Ent,351,567
573,best,102,177910,서환,0,478
574,best,102,155356,리톤,8,321
575,best,102,263818,PEUL,243,227
576,best,102,470400,잇츠제네시스,144,223
577,best,102,14929,베아트리체,247,261
578,best,102,464264,조쪼,73,255
579,best,102,471750,마신유희,110,129
580,best,102,92026,La Pillaseta,277,921
581,best,102,56706,약빤꽃게,95,352
582,best,102,265380,휴위,72,73
583,best,102,240872,휴위,138,397
584,best,102,75937,창조ZA,6,236
585,best,102,496130,로아J,60,219
586,best,102,411930,에디르네,5,153
587,best,102,283241,디폴로,117,135
588,best,102,423852,이가후,129,95
589,best,102,329045,by데네브,66,71
590,best,102,88465,MOS,7,1351
591,best,102,80880,리브☆,7,827
592,best,102,408972,양산형∀,170,78
593,best,102,60199,레리아크,290,517
594,best,102,330199,레뉴아,189,223
595,best,102,166510,커피너구리,152,337
596,best,102,375553,1192,6,165
597,best,102,5297,초콜릿악마,107,1644
598,best,102,374317,푸른 하늘정,33,148
599,best,102,326851,독불 이한중,1,324
600,best,102,389244,구토빵,64,154
601,best,102,327857,검은 왕관,49,254
602,best,102,410243,라마현,179,160
603,best,102,339059,유혈목이,58,25
604,best,102,196327,여명[黎明],0,240
605,best,102,143389,nimia,144,575
606,best,102,210039,셰리시아,401,1067
607,best,102,527079,토바티에,147,75
608,best,102,204370,Ell'sHeaven,263,1326
609,best,102,464648,옛이야기들,145,401
610,best,102,399164,체셔냐옹,7,318
611,best,102,269221,SilverWitch,159,796
612,best,102,336287,촌뜨기괭이,7,151
613,best,102,10170,SlowWriter,6,140
614,best,102,464390,시시껄렁한이야기,123,112
615,best,102,55101,riosni,115,92
616,best,102,358350,고양이 글씨,100,88
617,best,102,494677,소리엔,55,368
618,best,102,319038,김후드,118,95
619,best,102,115126,마른이끼,25,243
620,best,102,146566,Goldilocks,1,197
621,best,102,98166,라쿠,112,196
622,best,102,288641,라인트,351,248
623,best,102,187091,도꾸뿌리,130,603
624,best,102,232802,아라별,295,1047
625,best,102,378285,아이시안,6,328
626,best,102,4170,노란안경,213,433
627,best,102,436806,청월호 (靑月虎),61,137
628,best,102,471307,판소좋아,111,69
629,best,102,29078,베르나도트,204,186
630,best,102,159782,키아르네,0,1312
631,best,102,152032,뉴클리어,136,86
632,best,102,81220,SinTA,290,251
633,best,102,281731,곰의신,105,189
634,best,102,155916,중게,0,166
635,best,102,156917,SoulDelete,7,336
636,best,102,409402,엘리아냥.,12,1039
637,best,102,3136,하하호호Rr,602,776
638,best,102,315068,전뇌조율사,78,246
639,best,102,62067,라인트,371,384
640,best,102,351633,소울릿,14,230
641,best,102,18077,레이시호,2,259
642,best,102,25598,블랑슈,3,344
643,best,102,451246,하라임,15,279
644,best,102,227729,춤추는팥빵,6,1189
645,best,102,356408,김나림,37,129
646,best,102,38447,똬르,132,170
647,best,102,554,슈비,25,327
648,best,102,1342,티그리드,136,613
649,best,102,179690,굴린트,217,346
650,best,102,221195,perel,342,260
651,best,102,5375,묵호,0,659
652,best,102,429775,R.앞집소년,1,212
653,best,102,175141,Aslan,101,89
654,best,102,131692,만상조,3,334
655,best,102,179787,벰,25,353
656,best,102,432944,유한려,16,228
657,best,102,185281,심장암,2,493
658,best,102,357262,Jackpot Master,1,258
659,best,102,6854,네코샘플,12,83
660,best,102,51316,영(永),112,124
661,best,102,353125,김민중,5,102
662,best,102,41920,El Luth Fosus,167,451
663,best,102,319368,#해날,59,272
664,best,102,26978,Ell'sHeaven,426,1942
665,best,102,157563,로나프강가에서,71,201
666,best,102,131613,모프제이,234,264
667,best,102,133386,제피,111,80
668,best,102,93242,라쿤(racoon),129,92
669,best,102,78390,달무지개,139,206
670,best,102,148485,박사영,149,276
671,best,102,57344,공병왕,20,579
672,best,102,166645,축복의성,17,299
673,best,102,10782,치치카카,132,51
674,best,102,96985,AngelDust,2,80
675,best,103,276429,kaliss,46,91
676,best,103,556934,실붓,54,0
677,best,103,465053,변법가,84,102
678,best,103,89876,변혁,85,23
679,best,103,554134,짚풀,27,0
680,best,103,403318,독초쥬스,86,109
681,best,103,511383,필몽,33,121
682,best,103,426519,울트라포스,62,26
683,best,103,63727,레테,23,6
684,best,103,537796,운좋은놈,57,39
685,best,103,407434,범향,3,314
686,best,103,495291,애프터눈,24,5
687,best,103,167300,초벽(初碧),108,493
688,best,103,428678,평온한물결,41,0
689,best,103,525505,정용훈,27,101
690,best,103,527279,천자,51,12
691,best,103,318662,박촌(이영춘),42,31
692,best,103,429732,휘랑군,101,35
693,best,103,289957,조정우,110,86
694,best,103,537861,마마소스,51,16
695,best,103,100133,석공명,179,657
696,best,103,379429,팔비수,99,381
697,best,103,174597,조정우,59,47
698,best,103,424301,제이백,68,70
699,best,103,409298,모르츄,127,105
700,best,103,25589,양파즙,219,384
